"","h",".model","series",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"62",1,"mint_novelist","A41","Test",-0.433383392535157,3.14450200630443,2.61516648164235,-0.535166084456917,2.6483751945771,0.933814500728041,0.894009823588189,0.130909472423467
"63",1,"mint_novelist","A42","Test",0.160279059719866,2.4381968870644,1.94189540359559,0.102386115692705,1.92033132095072,0.921254935229155,0.954375092224876,0.232759151118972
"64",1,"mint_novelist","A43","Test",0.420501022505557,2.31821810496058,1.78157008307877,0.37199446313561,1.75792024321293,0.872158667896241,0.923074498965479,-0.187943892386832
"65",1,"mint_novelist","A44","Test",-0.0250874384981167,2.11781517921348,1.77179991755967,-0.0719556284399071,1.7896400161327,0.96320080109266,0.93507551377979,0.0383134466955575
"66",1,"mint_novelist","A45","Test",0.180765571792451,2.66474794877795,2.11501668192229,0.119468981323397,2.08572545422392,0.83691421404317,0.870134460278298,-0.0875147353682257
"67",1,"mint_novelist","A46","Test",0.0466517749671439,2.00394045916435,1.59232916739216,0.0208716792268968,1.55426479559536,1.00662956463444,0.982924479942686,-0.272869509485542
"68",1,"mint_novelist","A51","Test",0.147495908198864,1.4173499273158,1.12301608238956,0.12881622286025,1.12394399774455,0.790484218194411,0.778989160162169,-0.0404774740363517
"69",1,"mint_novelist","A52","Test",-0.00606058296011049,2.19653321946615,1.77195592744825,-0.0522843845393184,1.78353309647366,0.942589055059857,0.938006356331031,-0.0580996343234842
"70",1,"mint_novelist","A53","Test",-0.105976737223674,2.80273264075159,2.4005516387777,-0.168597857793021,2.42812567733293,0.953908134098737,0.912794158772748,-0.241601421237993
"71",1,"mint_novelist","A54","Test",0.366953019513759,2.10092385697993,1.64238561631849,0.32483209605195,1.61620781931094,0.864621562774395,0.88778263689222,-0.0761817180327495
"72",1,"mint_novelist","A55","Test",-0.0385539568701091,2.75314069572387,2.23097806894334,-0.105977163268634,2.21126642484845,0.953482805854242,0.937010950546112,0.0617333827299245
"73",1,"mint_novelist","A56","Test",0.36313950448547,2.46368269217567,2.00847151687913,0.301263061008196,1.98592796700513,1.07402583861794,1.03687862460766,-0.0234715514439583
"74",1,"mint_novelist","A61","Test",0.397970201678649,2.20029694608289,1.80196249419718,0.350599717956079,1.78593347425771,0.756242948316519,0.745909856383786,-0.0544010365373259
"75",1,"mint_novelist","A62","Test",0.488402621398655,2.19483261686249,1.80067989430272,0.442364515964857,1.79674637105877,0.79341541274595,0.779756538568226,0.277553583373939
"76",1,"mint_novelist","A63","Test",-0.44281885218845,1.87293416619762,1.55676693557187,-0.471267997266185,1.56945109377062,0.936781770386425,0.917214225192913,-0.277896788429557
"77",1,"mint_novelist","A64","Test",-0.368164477742068,2.83915501446078,2.35594371242887,-0.445083509343488,2.36951834094742,0.932983519293801,0.91633100265104,-0.1322025445901
"78",1,"mint_novelist","A65","Test",-0.636321299880092,2.59090401188093,2.08472234815928,-0.706467066326792,2.14638459271568,1.01723352557363,1.019783162763,-0.373058353185644
"79",1,"mint_novelist","A66","Test",0.103459073318226,1.23031528858479,0.96823776597741,0.0892244212994007,0.969572271241585,0.720796607196605,0.71475202557444,0.170680610923403
"80",1,"mint_novelist","B1","Test",-0.543047894114329,5.31101332341643,4.49165548547924,-0.097861389910603,0.750172348617928,0.982023282230653,0.930207945358058,-0.00618713738722269
"81",1,"mint_novelist","B2","Test",0.205048170926358,4.26316735624486,3.49305623713749,0.03016086534731,0.579714314009858,0.892156377878734,0.836518391566553,-0.0605234739171882
"82",1,"mint_novelist","B3","Test",-0.90457920475753,3.2207232691721,2.49189476523516,-0.154011891252196,0.418263417435096,0.74841842474514,0.785688326694966,-0.0238077847770069
"83",1,"mint_novelist","B4","Test",0.349726597951732,3.34008322173483,2.5293654604392,0.0555560856722574,0.418169818136811,0.684714550873549,0.731393548518929,-0.175462687352379
"84",1,"mint_novelist","B5","Test",0.726997155144207,3.52307644373308,2.8065775197936,0.118178293762941,0.465642283840604,0.744784355772267,0.747883280127666,-0.168565147295871
"85",1,"mint_novelist","B6","Test",-0.457472733415065,6.29454134708252,5.18966829206787,-0.0863247572507452,0.869914359526734,0.849819599029613,0.859930821547978,-0.131228524843257
"86",1,"mint_novelist","C1","Test",-0.623327908264446,9.95955114748516,7.52922607882681,-0.0179502651076389,0.209172895316176,0.615735990746461,0.666271328067069,-0.0940864288893328
"87",1,"mint_shrink","A11","Test",0.420894095952668,2.67215946530315,2.11471773731654,0.349791899339124,2.08601546502715,0.990238384669102,0.979891077538946,-0.0303879529377588
"88",1,"mint_shrink","A12","Test",-0.375919417647847,2.1807062050768,1.81106540007948,-0.417618414027442,1.82987098277732,0.909433267179277,0.887566721723964,-0.0668622158097829
"89",1,"mint_shrink","A13","Test",-0.313879520706042,1.55871758063352,1.30565776360541,-0.344471489210916,1.35846630925643,0.992291552715591,0.956225309439657,0.0305576421130173
"90",1,"mint_shrink","A14","Test",-0.00888192701796164,1.76811367412081,1.45064821842561,-0.0390805645348342,1.43458773950806,1.01002389454644,0.999102443386847,0.0461340326069305
"91",1,"mint_shrink","A15","Test",-0.186644905802574,2.51422875912896,1.97664518780825,-0.244767967807537,1.95990523568493,1.08837835125878,1.10008694815695,0.0435745608382265
"92",1,"mint_shrink","A16","Test",-0.0982565982839962,1.63900834802502,1.33865672621774,-0.12587432526877,1.34380315104816,0.823458909454833,0.819675716610014,0.104845185094133
"93",1,"mint_shrink","A21","Test",0.109999166046446,1.9773455873058,1.61396005361897,0.0766857241387331,1.60034210041009,0.961404129136065,0.952644184019697,-0.0430132325538999
"94",1,"mint_shrink","A22","Test",0.196257687815653,2.61993249407351,2.12186616544943,0.14268121361794,2.05709548145763,0.933295474098656,0.948796704066329,-0.371842756707798
"95",1,"mint_shrink","A23","Test",-0.0990708981732347,2.85260911451373,2.3237449437993,-0.157615643476289,2.37561233744877,1.0195057499455,0.984561875432838,-0.117068907794748
"96",1,"mint_shrink","A24","Test",0.0919646566006868,2.41253239617402,2.00785794280094,0.0382490590431994,2.01064698501379,1.12016372669181,1.06503198704921,0.232877469737941
"97",1,"mint_shrink","A25","Test",-0.610870985144803,2.27638647835505,1.87321981059866,-0.675837362050219,1.97245964419609,1.14756070305515,1.10675686314534,0.165864664268839
"98",1,"mint_shrink","A26","Test",0.499764345013852,2.60666135246819,1.98463341209106,0.428397383096203,1.90039882633649,0.871442014157031,0.889607660982515,-0.0902147582816128
"99",1,"mint_shrink","A31","Test",-0.45095636641059,1.68985673848334,1.39017836800617,-0.481221892798728,1.41285403170321,0.730759767568546,0.703156005126573,0.171278263209066
"100",1,"mint_shrink","A32","Test",-0.184561231228478,1.61978327346449,1.2577254922232,-0.210041600466902,1.26393845290198,0.815609394036913,0.826238772616146,0.0124208555643968
"101",1,"mint_shrink","A33","Test",-0.189049925950766,2.00998456612149,1.56323908446153,-0.233003818711777,1.57331638514419,1.04491927004898,1.04585806011913,0.0567352796606383
"102",1,"mint_shrink","A34","Test",0.442615194359413,1.82061241708727,1.53389957985389,0.40905779858717,1.52388879338752,0.872226403467873,0.832084436472657,0.0858959724193163
"103",1,"mint_shrink","A35","Test",-0.200778054269739,1.80446322405399,1.41083591075063,-0.232040182674889,1.4229583201619,0.869507936885151,0.860394103112519,-0.147147814259357
"104",1,"mint_shrink","A36","Test",-0.32232427079855,2.16372250054852,1.75747151306342,-0.36835443068878,1.78999017048995,0.888901983266201,0.87700652692386,-0.217689301377871
"105",1,"mint_shrink","A41","Test",-0.416393792532994,3.13997648419443,2.60922977048511,-0.518228116073736,2.64202878787185,0.931694640671644,0.892723177494436,0.132614611791717
"106",1,"mint_shrink","A42","Test",0.175687736282095,2.43648115370743,1.94279327977622,0.117589363120968,1.92067909866952,0.92168089682374,0.95370350856833,0.232182990226284
"107",1,"mint_shrink","A43","Test",0.412018694450456,2.31328499693414,1.7780289564223,0.363687435149599,1.75456971578061,0.87042512716333,0.921110220362831,-0.193653515525545
"108",1,"mint_shrink","A44","Test",-0.0305218957451014,2.11566765221697,1.77043976182824,-0.0774194953683753,1.78843673655093,0.962461381772716,0.934127319655333,0.0372422767428866
"109",1,"mint_shrink","A45","Test",0.15578585597716,2.65258535227784,2.11069230345365,0.0953087404764801,2.08213227193667,0.835203053162859,0.866162942316886,-0.0989782813276246
"110",1,"mint_shrink","A46","Test",0.0496847763512605,2.00332100950611,1.59112755642632,0.0238611645845474,1.55309239201839,1.00586993707239,0.982620642455699,-0.27213079405484
"111",1,"mint_shrink","A51","Test",0.145433542039983,1.41734802171681,1.12285023104196,0.126695555505594,1.12380951837659,0.790367476435405,0.778988112826622,-0.0372184999282015
"112",1,"mint_shrink","A52","Test",0.00102466215347548,2.19426337720489,1.77196590814707,-0.0451044540334067,1.78340119831041,0.942594364276259,0.937037044121196,-0.0611370282349627
"113",1,"mint_shrink","A53","Test",-0.0975104692530806,2.80373269916772,2.40111662723578,-0.1601508481944,2.42852023786198,0.954132643781064,0.913119857866343,-0.241819304595845
"114",1,"mint_shrink","A54","Test",0.359142337726844,2.10116090340446,1.64356769351969,0.317027522165295,1.61747511880416,0.865243858431922,0.887882805063065,-0.0753862189267393
"115",1,"mint_shrink","A55","Test",-0.0375325695439248,2.75066571398504,2.22825717273329,-0.104980112410432,2.20848811867208,0.952319940208489,0.936168608926852,0.0609846453329984
"116",1,"mint_shrink","A56","Test",0.359344702939705,2.45540990668242,2.00142646124898,0.297802645087083,1.97914049809832,1.07025851022036,1.03339689602664,-0.0290566119267657
"117",1,"mint_shrink","A61","Test",0.349154908382658,2.18060697829618,1.77521000892646,0.302112923362111,1.75983256705644,0.745015534648881,0.739234875049958,-0.0454882906246739
"118",1,"mint_shrink","A62","Test",0.494432846377055,2.19583985925531,1.79900008991169,0.448344261434278,1.79490575233171,0.792675257486559,0.780114380818103,0.282518467400825
"119",1,"mint_shrink","A63","Test",-0.446298766468224,1.87655572055283,1.56059968500282,-0.47488054419336,1.57334450835542,0.939088120627639,0.918987774542302,-0.27350146947964
"120",1,"mint_shrink","A64","Test",-0.363083788257067,2.83769830741432,2.35520403597311,-0.440024033941574,2.36867192472795,0.932690598058373,0.915860853673033,-0.130418154094047
"121",1,"mint_shrink","A65","Test",-0.630035408432723,2.59210630544148,2.0880908797624,-0.699783458247559,2.1496778747705,1.01887718967196,1.02025638706005,-0.378537959816845
"122",1,"mint_shrink","A66","Test",0.10750319660578,1.22540775989401,0.964991046267251,0.0933261161347215,0.966316649037421,0.71837961352642,0.711900995350852,0.168114684800637
"123",1,"mint_shrink","B1","Test",-0.562688273505793,5.30642314082608,4.48075034001586,-0.101147128832731,0.748377360187569,0.979639059581396,0.929403988738827,-0.00764959718782265
"124",1,"mint_shrink","B2","Test",0.188043972158607,4.25670685402884,3.48963934151664,0.0273383220027387,0.579172004819397,0.89128367357232,0.835250712287075,-0.0588665440682505
"125",1,"mint_shrink","B3","Test",-0.905054654298698,3.22109812801686,2.49172972423602,-0.154092626919642,0.418236322749074,0.748368856149259,0.785779772682056,-0.0230887122369503
"126",1,"mint_shrink","B4","Test",0.346261374782875,3.33276599431754,2.52830079291039,0.0549850506490045,0.41799605312738,0.684426338924654,0.729791261219252,-0.176320233785134
"127",1,"mint_shrink","B5","Test",0.729902206063045,3.51143821824871,2.79826044411194,0.118674209798441,0.464261788101735,0.74257724486591,0.745412702384285,-0.17014621197019
"128",1,"mint_shrink","B6","Test",-0.488327011792498,6.28610661336606,5.17799006066864,-0.0914717380655519,0.867990366343405,0.847907262948281,0.85877850764703,-0.131064639311012
"129",1,"mint_shrink","C1","Test",-0.69186238659247,9.91693781015128,7.49358235046848,-0.0198479045892584,0.208186160524053,0.612821066136037,0.663420592683679,-0.0944980170138296
"130",2,"arima","A11","Test",0.713397806565225,2.98998340819601,2.32641137042524,0.621941908239723,2.28916006950414,1.08936611107683,1.0964383307672,0.411231010640897
"131",2,"arima","A12","Test",-0.460545250862603,2.46071114471254,1.89358014763251,-0.516445120627663,1.91578975171125,0.950868356411467,1.00153120981522,0.32970286107288
"132",2,"arima","A13","Test",-0.657482279207297,2.19941790771081,1.79809998599321,-0.716560394950768,1.87411385876824,1.36654449333808,1.3492752603285,0.447080138693886
"133",2,"arima","A14","Test",-0.0403561973863549,2.26082907288795,1.8671547959173,-0.0891792402524611,1.84484090964081,1.30001949110735,1.27751958703988,0.462600196015694
"134",2,"arima","A15","Test",-0.359900036486669,3.35170198344128,2.73136041606482,-0.459331661119699,2.70297526435701,1.50393887818904,1.46651874564226,0.523851483837616
"135",2,"arima","A16","Test",-0.174390612429989,1.78335716059525,1.48122512242064,-0.2062667872001,1.48631111920363,0.911158178252191,0.891865230792712,0.315847506817119
"136",2,"arima","A21","Test",0.272779237161588,2.26271146011853,1.90698339679425,0.227097986369513,1.8842907242682,1.13595234761909,1.09012755607059,0.367966654374272
"137",2,"arima","A22","Test",0.504324827312702,2.75236244817955,2.06885679240018,0.425775110969884,1.99137840541892,0.909979485203007,0.996755613030472,0.33639959575429
"138",2,"arima","A23","Test",0.116629752711311,3.83787931427301,3.05199604315264,0.0482394376943594,3.11221162096581,1.33901421630109,1.32462230318214,0.192707823531658
"139",2,"arima","A24","Test",0.280177607648912,3.36493208319947,2.86117664557149,0.190064534671624,2.84885268076851,1.59622163784956,1.48547655092174,0.538479745481437
"140",2,"arima","A25","Test",-1.174343127793,3.51144845479657,2.87097019906432,-1.30418888292771,3.03134292260076,1.7587965712554,1.70723192826883,0.428410367652214
"141",2,"arima","A26","Test",0.87209651252363,3.07148312985018,2.32098900075853,0.766464964209935,2.21065136335247,1.01913397070457,1.04824315606091,0.420872191036397
"142",2,"arima","A31","Test",-0.491803861742935,1.85196246476927,1.4611987703572,-0.525932795753594,1.48531113583014,0.768092281085567,0.77060883252167,0.355928043694957
"143",2,"arima","A32","Test",-0.215436445874522,1.80239689756771,1.4036933287623,-0.246603070547533,1.4118680584542,0.910266566404542,0.91938855327743,0.332872309159794
"144",2,"arima","A33","Test",-0.254647480770449,2.37977546345732,1.90163693482225,-0.313691321935268,1.90762214528701,1.27111527442208,1.2382718711782,0.48859693176356
"145",2,"arima","A34","Test",0.655931013019019,2.00041346235608,1.64824569577622,0.616862582728909,1.63648460697667,0.937247414459317,0.914259890196659,0.37228243179766
"146",2,"arima","A35","Test",-0.344877903200446,1.84607890334011,1.5122737700362,-0.379924360702121,1.52676958072265,0.932024791664186,0.880237059498381,0.192988026776741
"147",2,"arima","A36","Test",-0.506367638750408,2.42939845540536,2.05290847501399,-0.568416116731079,2.09297318654107,1.0383294416665,0.98469110588309,0.28549057572506
"148",2,"arima","A41","Test",-0.534825106345747,3.33282099556529,2.70621239354708,-0.647218512013287,2.75333971761846,0.966324856518182,0.947550583310988,0.350920779847866
"149",2,"arima","A42","Test",0.596171990763978,3.211908318627,2.44889577942573,0.502497645250221,2.40879961228676,1.16178107146272,1.25722631919943,0.475127146556653
"150",2,"arima","A43","Test",0.788641467257166,2.42866302741531,1.91274100069879,0.731462304720676,1.87812828670024,0.936372730460932,0.967051763762103,0.207582125206782
"151",2,"arima","A44","Test",-0.0467659246492539,2.35148083721112,1.89111209243789,-0.105545972234106,1.90340979120089,1.02806229097301,1.03824553416182,0.486764969660026
"152",2,"arima","A45","Test",0.267929374058401,2.94775430555028,2.42298672833367,0.191434951258783,2.38905068022643,0.958778269085496,0.962546046003826,0.328768308593943
"153",2,"arima","A46","Test",0.187682524248377,2.30426577722061,1.90243481738934,0.148112716654573,1.86222483337115,1.20267038448489,1.13023280226039,0.309313993321249
"154",2,"arima","A51","Test",0.24157807715111,1.69798447486385,1.36994824266979,0.214127682655539,1.3730377142196,0.96429827012752,0.933228608229136,0.534024339497004
"155",2,"arima","A52","Test",-0.0152652316548993,2.2615001521732,1.74120262879897,-0.0664624505543149,1.75314065178308,0.926229888183994,0.965749800086162,0.242767856227073
"156",2,"arima","A53","Test",-0.234363779802113,2.85811945512457,2.31134536236077,-0.307806599484257,2.34033628143724,0.918460201501836,0.930832540278567,0.0886556941191834
"157",2,"arima","A54","Test",0.53095539593762,2.54756726504204,1.99899134633064,0.469584766358648,1.96277848576671,1.05235396892427,1.07651973045348,0.336138732423222
"158",2,"arima","A55","Test",-0.136495724000279,3.23884536553659,2.82530831655736,-0.226065182922835,2.80043911840029,1.20748963809866,1.10231692094304,0.345076780422625
"159",2,"arima","A56","Test",0.540982849994396,2.93729943285265,2.31695032729734,0.451364821346321,2.27858400042008,1.23898422128403,1.23620748957226,0.539432393895856
"160",2,"arima","A61","Test",0.42599829990924,2.31537056320333,1.91475960015098,0.371872091560502,1.89659924718776,0.803581345337974,0.784920293303531,0.315720756859137
"161",2,"arima","A62","Test",0.592736020974976,2.2817906610821,1.88310707166738,0.544231146190762,1.87676960081016,0.829734468207824,0.810650057755248,0.342295540870473
"162",2,"arima","A63","Test",-0.624112238725975,2.00560264011244,1.60168485738963,-0.659998858636221,1.61994663388034,0.963811050981381,0.982184694366611,0.213300565640407
"163",2,"arima","A64","Test",-0.4134491169311,2.84279964996153,2.26358677717543,-0.493190189447424,2.27892399898418,0.89640900436402,0.917507300699469,0.0656921805140632
"164",2,"arima","A65","Test",-1.07940916192646,2.78746118781937,2.13025013232724,-1.17420060129907,2.19930652985212,1.03944866057308,1.09714832087889,0.395116912980608
"165",2,"arima","A66","Test",0.235397728614034,1.5935741550145,1.27085663031199,0.213471617086716,1.27217373318711,0.946078721105745,0.925787369926838,0.460432406556048
"166",2,"arima","B1","Test",-1.7147712712663,6.49949903713098,5.27987922795343,-0.296410429728778,0.883786187388003,1.15435485779762,1.13836762911699,0.362903001078074
